
РҚАО-ның ескертпесі! Осы бұйрықтың қолданысқа енгізілу тәртібін 3-тармақтан қараңыз

БҰЙЫРАМЫН: 1. «Бюджет түсімдерін бюджеттер деңгейлері мен Қазақстан Республикасы Ұлттық қорының қолма-қол ақшасының бақылау шоты арасында бөлу кестесін бекіту туралы» Қазақстан Республикасы Қаржы министрінің 2014 жылғы 18 қыркүйектегі № 404 бұйрығына (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 9760 болып тіркелген) мынадай өзгеріс енгізілсін: Осы бұйрықпен бекітілген Бюджет түсімдерін бюджеттер деңгейлері мен Қазақстан Республикасы Ұлттық қорының қолма-қол ақшасының бақылау шоты арасында бөлу кестесін осы бұйрыққа қосымшаға сәйкес жаңа редакцияда жазылсын. 2. Қазақстан Республикасы Қаржы министрлігінің Бюджеттік жоспарлау және болжамдау департаменті (Т.М. Савельева) заңнамада белгіленген тәртіппен: 1) осы бұйрықтың Қазақстан Республикасы Әділет министрлігінде мемлекеттік тіркелуін; 2) осы бұйрықтың Қазақстан Республикасы Әділет министрлігінде мемлекеттік тіркелуінен кейін күнтізбелік он күн ішінде бұқаралық ақпарат құралдарында және «Әділет» ақпараттық-құқықтық жүйесінде ресми жариялануға жіберілуін; 3) осы бұйрықтың Қазақстан Республикасы Қаржы министрлігінің интернет-ресурсында орналастырылуын қамтамасыз етсін. 3. Осы бұйрық 2015 жылғы 1 қаңтардан бастап қолданысқа енгізіледі.

Министр                                    Б. Сұлтанов

Қазақстан Республикасы Қаржы министрінің 2014 жылғы 14 қарашадағы № 495 бұйрығына

Қазақстан Республикасы Қаржы министрінің 2014 жылғы 18 қыркүйектегі № 404 бұйрығына 1-қосымша

Бюджет түсімдерін бюджеттер деңгейлері мен Қазақстан Республикасы Ұлттық қорының қолма-қол ақшасының бақылау шоты арасында бөлу кестесі


Атау	|	КОДТАР	|	БЮДЖЕТКЕ %-БЕН ЕСЕПТЕЛЕДІ
Санаты	|	Сынып	|	Кіші сынып	|	Ерекшелігі	|	Республикалық бюджет	|	Жергілікті бюджеттер	|	Қазақстан Республикасы Ұлттық қорының қолма-қол ақшасының бақылау шоты
Облыстық бюджет	|	Республикалық маңызы бар қала, астана	|	Аудан, облыстық маңызы бар қала
1	|	2	|	3	|	4	|	5	|	6	|	7	|	8	|	9	|	10
Алматы қаласының бюджетiнен алынатын бюджеттік алу	|	4	|	01	|	1	|	06	|	100	|		|		|		|	
Астана қаласының бюджетiнен алынатын бюджеттік алу	|	4	|	01	|	1	|	07	|	100	|		|		|		|	
Облыстық бюджеттерден, Астана және Алматы қалаларының бюджеттерiнен републикалық бюджеттің шығындарына өтемақыға берілетін трансферттердің түсімдері	|	4	|	01	|	1	|	08	|	100	|		|		|		|	
Бюджет заңнамасымен қарастырылған жағдайларда жалпы сипаттағы трансферттерды қайтару	|	4	|	01	|	1	|	11	|	100	|		|		|		|	
Аудандық (қалалық) бюджеттерден трансферттер	|	4	|	01	|	2	|		|		|		|		|		|	
Бюджеттік алып қоюлар	|	4	|	01	|	2	|	01	|		|	100	|		|		|	
Нысаналы трансферттерді қайтару	|	4	|	01	|	2	|	02	|		|	100	|		|		|	
Нысаналы мақсатқа сай пайдаланылмаған нысаналы трансферттерді қайтару	|	4	|	01	|	2	|	03	|		|	100	|		|		|	
Аудандық (қалалық) бюджеттерден облыстық бюджеттің ысырабын өтеуге арналған трансферттер түсімдері	|	4	|	01	|	2	|	04	|		|	100	|		|		|	
Бюджет заңнамасымен қарастырылған жағдайларда жалпы сипаттағы трансферттерды қайтару	|	4	|	01	|	2	|	05	|		|	100	|		|		|	
Мемлекеттiк басқарудың жоғары тұрған органдарынан түсетiн трансферттер	|	4	|	02	|		|		|		|		|		|		|	
Республикалық бюджеттен түсетiн трансферттер	|	4	|	02	|	1	|		|		|		|		|		|	
Ағымдағы нысаналы трансферттер	|	4	|	02	|	1	|	01	|		|	100	|	100	|		|	
Нысаналы даму трансферттері	|	4	|	02	|	1	|	02	|		|	100	|	100	|		|	
Субвенциялар	|	4	|	02	|	1	|	03	|		|	100	|	100	|		|	
Облыстық бюджеттен түсетiн трансферттер	|	4	|	02	|	2	|		|		|		|		|		|	
Ағымдағы нысаналы трансферттер	|	4	|	02	|	2	|	01	|		|		|		|	100	|	
Нысаналы даму трансферттері	|	4	|	02	|	2	|	02	|		|		|		|	100	|	
Субвенциялар	|	4	|	02	|	2	|	03	|		|		|		|	100	|	
Заңнаманың қабылдауына байланысты ысырапты өтеуге арналған трансферттер	|	4	|	02	|	2	|	04	|		|		|		|	100	|	
Облыстардың, Астана және Алматы қалаларының бюджеттеріне берілетін трансферттер	|	4	|	03	|		|		|		|		|		|		|	
Облыстық бюджеттің, Астана және Алматы қалалары бюджеттерінің басқа облыстық бюджеттермен, Астана және Алматы қалаларының бюджеттерімен өзара қатынастары	|	4	|	03	|	1	|		|		|		|		|		|	
Облыстық бюджеттерге, Астана және Алматы қалаларының бюджеттеріне әкімшілік-аумақтық бірліктің саяси, экономикалық және әлеуметтік тұрақтылығына, адамдардың өмірі мен денсаулығына қауіп төндіретін әлеуметтік, табиғи және техногендік сипаттағы төтенше жағдайлар туындаған, жалпы республикалық не халықаралық маңызы бар іс-шаралар өткізілген жағдайларда берілетін трансферттер	|	4	|	03	|	1	|	01	|		|	100	|	100	|		|	
Аудандық (облыстық маңызы бар қалалардың) бюджеттеріне әкімшілік-аумақтық бірліктің саяси, экономикалық және әлеуметтік тұрақтылығына, адамдардың өмірі мен денсаулығына қауіп төндіретін әлеуметтік, табиғи және техногендік сипаттағы төтенше жағдайлар туындаған, жалпы республикалық не халықаралық маңызы бар іс-шаралар өткізілген жағдайларда берілетін трансферттер	|	4	|	03	|	1	|	02	|		|		|		|	100	|	
Ұлттық қордан трансферттер	|	4	|	04	|		|		|		|		|		|		|	
Республикалық бюджетке Ұлттық қордан трансферттер	|	4	|	04	|	1	|		|		|		|		|		|	
Ұлттық қордан республикалық бюджетке кепілдік берілген трансферт	|	4	|	04	|	1	|	01	|	100	|		|		|		|	
Қазақстан Республикасының Ұлттық қорынан республикалық бюджетке өткен жылы аударылмаған кепiлдендірілген трансферт сомасы	|	4	|	04	|	1	|	02	|	100	|		|		|		|	
Қазақстан Республикасының Ұлттық қорынан Республикалық бюджеткe берiлетiн нысаналы трансферт	|	4	|	04	|	1	|	03	|	100	|		|		|		|	
Бюджеттік кредиттерді өтеу	|	5	|		|		|		|		|		|		|		|	
Бюджеттік кредиттерді өтеу	|	5	|	01	|		|		|		|		|		|		|	
Мемлекеттік бюджеттен берілген бюджеттік кредиттерді өтеу	|	5	|	01	|	1	|		|		|		|		|		|	
Облыстардың, республикалық маңызы бар қалалардың, астананың жергілікті атқарушы органдарына ішкі көздер есебінен республикалық бюджеттен берілген бюджеттік кредиттерді өтеу	|	5	|	01	|	1	|	01	|	100	|		|		|		|	
Облыстардың, республикалық маңызы бар қалалардың, астананың жергілікті атқарушы органдарына үкіметтік сыртқы қарыздар қаражаты есебінен республикалық бюджеттен берілген бюджеттік кредиттерді өтеу	|	5	|	01	|	1	|	02	|	100	|		|		|		|	
Аудандардың (облыстық маңызы бар қалалардың) жергілікті атқарушы органдарына облыстық бюджеттен берілген бюджеттік кредиттерді өтеу	|	5	|	01	|	1	|	03	|		|	100	|		|		|	
Мамандандырылған ұйымдарға ішкі көздері есебінен республикалық бюджеттен берілген бюджеттік кредиттерді өтеу	|	5	|	01	|	1	|	04	|	100	|		|		|		|	
Мамандандырылған ұйымдарға үкіметтік сыртқы қарыздар есебінен республикалық бюджеттен берілген бюджеттік кредиттерді өтеу	|	5	|	01	|	1	|	05	|	100	|		|		|		|	
Мамандандырылған ұйымдарға жергілікті бюджеттен берілген бюджеттік кредиттерді өтеу	|	5	|	01	|	1	|	06	|		|	100	|	100	|	100	|	
Заңды тұлғаларға үкіметтік сыртқы қарыздар қаражаты есебінен республикалық бюджеттен 2005 жылға дейін берілген бюджеттік кредиттерді өтеу	|	5	|	01	|	1	|	10	|	100	|		|		|		|	
Заңды тұлғаларға жергілікті бюджеттен 2005 жылға дейін берілген бюджеттік кредиттерді өтеу	|	5	|	01	|	1	|	11	|		|	100	|	100	|	100	|	
Жеке тұлғаларға республикалық бюджеттен берілген бюджеттік кредиттерді өтеу	|	5	|	01	|	1	|	12	|	100	|		|		|		|	
Жеке тұлғаларға жергілікті бюджеттен берілген бюджеттік кредиттерді өтеу	|	5	|	01	|	1	|	13	|		|	100	|	100	|	100	|	
Шетелдік мемлекеттерге берілген бюджеттік кредиттерді өтеу	|	5	|	01	|	1	|	14	|	100	|		|		|		|	
Бюджеттік кредиттердің сомаларын қайтару	|	5	|	01	|	2	|		|		|		|		|		|	
Республикалық бюджеттен берілген пайдаланылмаған бюджеттік кредиттерді қайтару	|	5	|	01	|	2	|	01	|	100	|		|		|		|	
Жергілікті бюджеттен берілген пайдаланылмаған бюджеттік кредиттерді қайтару	|	5	|	01	|	2	|	02	|		|	100	|		|		|	
Республикалық бюджеттен берілген пайдаланылмаған бюджеттік кредиттерді облыстардың (республикалық маңызы бар қалалардың, астананың) бюджеттерінен қайтару	|	5	|	01	|	2	|	03	|	100	|		|		|		|	
Облыстық бюджеттен берілген пайдаланылмаған бюджеттік кредиттерді аудандардың (облыстық маңызы бар қалалардың) бюджеттерінен қайтару	|	5	|	01	|	2	|	04	|		|	100	|		|		|	
Республикалық бюджеттен берілген нысаналы мақсаты бойынша пайдаланылмаған кредиттерді облыстардың, республикалық маңызы бар қаланың, астананың жергілікті атқару органдарының қайтаруы	|	5	|	01	|	2	|	05	|	100	|		|		|		|	
Жергілікті бюджеттен берілген нысаналы мақсаты бойынша пайдаланылмаған кредиттерді қайтару	|	5	|	01	|	2	|	06	|		|	100	|	100	|		|	
Республикалық бюджеттен берілген нысаналы мақсаты бойынша пайдаланылмаған кредиттерді жеке және заңды тұлғаларлың қайтаруы	|	5	|	01	|	2	|	07	|	100	|		|		|		|	
Жергілікті бюджеттен берілген нысаналы мақсаты бойынша пайдаланылмаған кредиттерді жеке және заңды тұлғалардың қайтаруы	|	5	|	01	|	2	|	08	|		|	100	|	100	|		|	
Төленген мемлекеттік кепілдіктер бойынша талаптарды қайтару	|	5	|	02	|		|		|		|		|		|		|	
Төленген мемлекеттік кепілдіктер бойынша талаптарды заңды тұлғалардың қайтаруы	|	5	|	02	|	1	|		|		|		|		|		|	
Мемлекеттік кепілдіктер бойынша міндеттемелерді орындауға бағытталған қаражатты қайтару	|	5	|	02	|	1	|	01	|	100	|		|		|		|	
Бюджеттік кредиттер, сондай-ақ мемлекеттік кепілдіктер бойынша міндеттемелерді орындауға бағытталған бюджеттік қаражат бойынша берешекті өтеу есебіне мемлекет пайдасына алынған не өндіріп алынған мүлікті сатудан түсетін түсімдер	|	5	|	02	|	1	|	02	|	100	|		|		|		|	
Мемлекеттің қаржы активтерін сатудан түсетін түсімдер	|	6	|		|		|		|		|		|		|		|	
Мемлекеттің қаржы активтерін сатудан түсетін түсімдер	|	6	|	01	|		|		|		|		|		|		|	
Қаржы активтерін ел ішінде сатудан түсетін түсімдер	|	6	|	01	|	1	|		|		|		|		|		|	
Республикалық меншіктегі заңды тұлғалардың қатысу үлестерін, бағалы қағаздарын сатудан түсетін түсімдер	|	6	|	01	|	1	|	01	|	100	|		|		|		|	
Коммуналдық меншіктегі заңды тұлғалардың қатысу үлестерін, бағалы қағаздарын сатудан түсетін түсімдер	|	6	|	01	|	1	|	02	|		|	100	|	100	|	100	|	
Республикалық меншіктегі және кен өндіруші әрі өңдеуші салаға жататын мемлекеттік мүлікті жекешелендіруден түсетін түсімдер	|	6	|	01	|	1	|	03	|		|		|		|		|	100
Мүлік кешені, республикалық мемлекеттік кәсіпорындардың жедел басқаруындағы немесе шаруашылық жүргізуіндегі өзге де мемелекеттік мүлік түріндегі республикалық мемлекеттік мекемелер мен мемлекеттік кәсіпорындарды сатудан түсетін түсімдер	|	6	|	01	|	1	|	04	|	100	|		|		|		|	
Мүліктік кешен түріндегі коммуналдық мемлекеттік мекемелер мен мемлекеттік кәсіпорындарды және коммуналдық мемлекеттік кәсіпорындардың жедел басқаруындағы немесе шаруашылық жіргізуіндегі өзге мемлекеттік мүлікті сатудан түсетін түсімдер	|	6	|	01	|	1	|	05	|		|	100	|	100	|	100	|	
Қаржы активтерін елден тыс жерлерде сатудан түсетін түсімдер	|	6	|	01	|	2	|		|		|		|		|		|	
Халықаралық ұйымдардың заңды тұлғаларының қатысу үлестерін, бағалы қағаздарын сатудан түсетін түсімдер	|	6	|	01	|	2	|	01	|	100	|		|		|		|	
Қарыздар түсімдері	|	7	|		|		|		|		|		|		|		|	
Мемлекеттік ішкі қарыздар	|	7	|	01	|		|		|		|		|		|		|	
Мемлекеттік эмиссиялық бағалы қағаздар	|	7	|	01	|	1	|		|		|		|		|		|	
Мемлекеттік ұзақ мерзімді қазынашылық міндеттемелер	|	7	|	01	|	1	|	01	|	100	|		|		|		|	
Мемлекеттік орта мерзімді қазынашылық міндеттемелер	|	7	|	01	|	1	|	02	|	100	|		|		|		|	
Мемлекеттік қысқа мерзімді қазынашылық міндеттемелер	|	7	|	01	|	1	|	03	|	100	|		|		|		|	
Мемлекеттік эмиссиялық бағалы қағаздарды ұйымдастырылған бағалы қағаздар рыногында сатудан түсетін түсімдер	|	7	|	01	|	1	|	05	|	100	|		|		|		|	
Өзге де мемлекеттік эмиссиялық бағалы қағаздар	|	7	|	01	|	1	|	09	|	100	|		|		|		|	
Қарыз алу келісім-шарттары	|	7	|	01	|	2	|		|		|		|		|		|	
Қазақстан Республикасының Үкіметі алатын қарыздар	|	7	|	01	|	2	|	01	|	100	|		|		|		|	
Облыстың, республикалық маңызы бар қаланың, астананың жергілікті атқарушы органы алатын қарыздар	|	7	|	01	|	2	|	02	|		|	100	|	100	|		|	
Ауданның (облыстық маңызы бар қаланың) жергілікті атқарушы органы алатын қарыздар	|	7	|	01	|	2	|	03	|		|		|		|	100	|	
Мемлекеттік сыртқы қарыздар	|	7	|	02	|		|		|		|		|		|		|	
Қарыз алу келісім-шарттары	|	7	|	02	|	1	|		|		|		|		|		|	
Халықаралық қаржы ұйымдарынан кредиттер	|	7	|	02	|	1	|	01	|	100	|		|		|		|	
Шетелдік мемлекеттерден кредиттер	|	7	|	02	|	1	|	02	|	100	|		|		|		|	
Шетелдік коммерциялық банктер мен фирмалардан кредиттер	|	7	|	02	|	1	|	03	|	100	|		|		|		|	
Мемлекеттік эмиссиялық бағалы қағаздар	|	7	|	02	|	2	|		|		|		|		|		|	
Сыртқы капитал рыноктарында орналыстырылған мемлекеттік борыштық міндеттемелер	|	7	|	02	|	2	|	01	|	100	|		|		|		|	
Өзге де мемлекеттік эмиссиялық бағалы қағаздар	|	7	|	02	|	2	|	02	|	100	|		|		|		|	
Бюджет қаражатының пайдаланылатын қалдықтары	|	8	|		|		|		|		|		|		|		|	
Бюджет қаражаты қалдықтары	|	8	|	01	|		|		|		|		|		|		|	
Бюджет қаражатының бос қалдықтары	|	8	|	01	|	1	|		|		|		|		|		|	
Бюджет қаражатының бос қалдықтары	|	8	|	01	|	1	|	01	|	Бос қалдықтар қалыптасқан бюджет деңгейіне байланысты	|	
Есепті кезең соңындағы бюджет қаражатының қалдықтары	|	8	|	01	|	2	|		|		|		|		|		|	
Есепті кезеңнің соңындағы бюджет қаражатының қалдықтары	|	8	|	01	|	2	|	01	|	Қалдықтар қалыптасқан бюджет деңгейіне байланысты	|	


