Солтүстік Қазақстан облысының әкімдігі ҚАУЛЫ ЕТЕДІ:

1. "Жергілікті маңызы бар балық шаруашылығы су айдындарының және (немесе) учаскелерінің тізбесін бекіту туралы" Солтүстік Қазақстан облысы әкімдігінің 2019 жылғы 4 сәуірдегі № 76 қаулысына (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 5334 болып тіркелді) мынадай өзгеріс енгізілсін:

көрсетілген қаулымен бекітілген қосымша осы қаулының қосымшасына сәйкес жаңа редакцияда жазылсын.

2. "Солтүстік Қазақстан облысы әкімдігінің табиғи ресурстар және табиғат пайдалануды реттеу басқармасы" коммуналдық мемлекеттік мекемесі Қазақстан Республикасының заңнамасында белгіленген тәртіпте қамтамасыз етсін:

1) осы қаулыны Қазақстан Республикасының Әділет министрлігінде мемлекеттік тіркеуді;

2) осы қаулыны ресми жарияланғаннан кейін Солтүстік Қазақстан облысы әкімдігінің интернет-ресурсында орналастыруды.

3. Осы қаулының орындалуын бақылау Солтүстік Қазақстан облысы әкімінің жетекшілік ететін мәселелер жөніндегі орынбасарына жүктелсін.

4. Осы қаулы оның алғашқы ресми жарияланған күнінен кейін күнтізбелік он күн өткен соң қолданысқа енгізіледі.


Солтүстік Қазақстан облысының әкімі	|	К. Аксакалов



	|	Солтүстік Қазақстан
	|	облысы әкімдігінің
	|	2021 жылғы 18 қарашадағы
	|	№ 256 қаулысына
	|	қосымша
	|	Солтүстік Қазақстан
	|	облысы әкімдігінің
	|	2019 жылғы "04" сәуірдегі
	|	№ 76 қаулысына
	|	қосымша

Жергілікті маңызы бар балық шаруашылығы су айдындарының және (немесе) учаскелерінің тізбесі

№	|	Cу айдыны және (немесе) учаскесі	|	Ауданы, гектар	|	Орналасқан жері	|	Балық шаруашылығының түрі
371	|	Мураш көлі	|	140	|	Коваль ауылынан оңтүстік шығысқа қарай 2,5 километр	|	Кәсіпшілік балық аулау
372	|	Немецкое көлі	|	70	|	Андреевка ауылынан оңтүстік батысқа қарай2 километр	|	Кәсіпшілік балық аулау
373	|	Новоукраинское (Домашнее) көлі	|	65	|	Новоукраинка ауылынан солтүстік шығысқа қарай0,1 километр	|	Кәсіпшілік балық аулау
374	|	Оглачи көлі	|	40	|	Октябрь ауылынан солтүстік шығысқа қарай 3 километр	|	Кәсіпшілік балық аулау
375	|	Окунев көлі	|	71	|	Покровка ауылынан оңтүстік батысқа қарай 3,5 километр	|	Кәсіпшілік балық аулау
376	|	Параскин көлі	|	57	|	Новомихайловка ауылынан солтүстік шығысқа қарай 4 километр	|	Кәсіпшілік балық аулау
377	|	Үлкен Пеган көлі	|	56	|	Михайловка ауылынан солтүстік шығысқа қарай 4,2 километр	|	Кәсіпшілік балық аулау
378	|	Переднее көлі	|	17	|	Становое ауылынан оңтүстік батысқа қарай 9 километр	|	Көлде тауарлы балық өсіру шаруашылығы
379	|	Песчаное көлі	|	58	|	Воскресеновка ауылынан оңтүстік батысқа қарай 4 километр	|	Кәсіпшілік балық аулау
380	|	Плешков көлі	|	100	|	Новоукраинка ауылынан оңтүстік батысқа қарай 6 километр	|	Кәсіпшілік балық аулау
381	|	Плоское көлі	|	35	|	Мамлютка қаласынан оңтүстікке қарай 0,8 километр	|	Кәсіпшілік балық аулау
382	|	Поддувальное көлі	|	65	|	Становое ауылынан солтүстік батысқа қарай 1,8 километр	|	Кәсіпшілік балық аулау
383	|	Половинкин көлі	|	56	|	Становое ауылынан батысқа қарай 7 километр	|	Кәсіпшілік балық аулау
384	|	Придворное көлі	|	44	|	Щучье ауылынан шығысқа қарай 5 километр	|	Кәсіпшілік балық аулау
385	|	Пчелин көлі	|	31	|	Пчелин ауылының оңтүстік батысқа қарай 0,3 километр	|	Кәсіпшілік балық аулау
386	|	Рогозяное көлі	|	43	|	Дубровное ауылынан оңтүстікке қарай 7,5 километр	|	Кәсіпшілік балық аулау
387	|	Ромашкин көлі	|	28	|	Сенжарка ауылынан оңтүстік шығысқа қарай 2,5 километр	|	Кәсіпшілік балық аулау
388	|	Русское көлі	|	48	|	Новомихайловка ауылынан солтүстік батысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
389	|	Рыбненок көлі	|	32	|	Воскресеновка ауылынан оңтүстік шығысқа қарай 2 километр	|	Кәсіпшілік балық аулау
390	|	Рыбное көлі	|	51	|	Дубровное ауылынан оңтүстік батысқа қарай 2 километр	|	Кәсіпшілік балық аулау
391	|	Рыбное көлі	|	110	|	Воскресеновка ауылынан оңтүстік шығысқа қарай 3,5 километр	|	Кәсіпшілік балық аулау
392	|	Серғұлы көлі	|	33	|	Становое ауылынан оңтүстік батысқа қарай 6 километр	|	Кәсіпшілік балық аулау
393	|	Кіші Серғұлы көлі	|	29	|	Искра ауылынан солтүстік шығысқа қарай 1,5 километр	|	Кәсіпшілік балық аулау
394	|	Скосарев көлі	|	25	|	Токаревка ауылынан солтүстік шығысқа қарай 4,6 километр	|	Кәсіпшілік балық аулау
395	|	Сладенькое көлі	|	44	|	Воскресеновка ауылынан оңтүстік шығысқа қарай 4,7 километр	|	Кәсіпшілік балық аулау
396	|	Сладкое көлі	|	22	|	Искра ауылынан солтүстік шығысқа қарай 1,5 километр	|	Кәсіпшілік балық аулау
397	|	Сливное көлі	|	154	|	Сливное ауылынан оңтүстік батысқа қарай 0,1 километр	|	Көлде тауарлы балық өсіру шаруашылығы
398	|	Сливное көлі	|	28	|	Становое ауылынан солтүстікке қарай 1,5 километр	|	Кәсіпшілік балық аулау
399	|	Кіші Сливное көлі	|	29	|	Становое ауылынан солтүстікке қарай 1,2 километр	|	Кәсіпшілік балық аулау
400	|	Сотницкое көлі	|	48	|	Дубровное ауылынан солтүстікке қарай2 километр	|	Кәсіпшілік балық аулау
401	|	Становое көлі	|	3000	|	Становое ауылынан оңтүстік шығысқа қарай 2 километр	|	Ащы-тұзды су айдыны
402	|	Суаткөл (Қасенов) көлі	|	56	|	Меңкесер ауылынан солтүстік батысқа қарай 5,5 километр	|	Көлде тауарлы балық өсіру шаруашылығы
403	|	Сунгур көлі	|	65	|	Новоукраинка ауылынан солтүстік батысқа қарай 1,5 километр	|	Кәсіпшілік балық аулау
404	|	Студеное көлі	|	71	|	Щучье ауылынаншығысқа қарай 3,1 километр	|	Кәсіпшілік балық аулау
405	|	Таловое көлі	|	65	|	Покровка ауылынан солтүстік шығысқа қарай 1 километр	|	Кәсіпшілік балық аулау
406	|	Третье көлі	|	55	|	Сливное ауылынан оңтүстікке қарай 1,5 километр	|	Кәсіпшілік балық аулау
407	|	Тюб көлі	|	48	|	Воскресеновка ауылынан батысқа қарай 1 километр	|	Кәсіпшілік балық аулау
408	|	Убиенное көлі	|	90	|	Становое ауылынан солтүстік шығысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
409	|	Уделов көлі	|	45	|	Белое ауылынан оңтүстік шығысқа қарай 9 километр	|	Кәсіпшілік балық аулау
410	|	Федосейкин көлі	|	70	|	Токаревка ауылынан солтүстікке қарай 2,5 километр	|	Кәсіпшілік балық аулау
411	|	Шалдық көлі	|	24	|	Бексейіт ауылынан оңтүстік батысқа қарай 4,3 километр	|	Кәсіпшілік балық аулау
412	|	Чебанчик көлі	|	40	|	Токаревка ауылынан солтүстік батысқа қарай 2 километр	|	Кәсіпшілік балық аулау
413	|	Үлкен Чирок көлі	|	179	|	Михайловка ауылынан солтүстікке қарай 1,5 километр	|	Көлде тауарлы балық өсіру шаруашылығы
414	|	Чистенькое көлі	|	30	|	Бексейіт ауылынан солтүстікке қарай 2 километр	|	Кәсіпшілік балық аулау
415	|	Чистое көлі	|	44	|	Раздольное ауылынан оңтүстік батысқа қарай 6 километр	|	Кәсіпшілік балық аулау
416	|	Чистое (Домашнее) көлі	|	110	|	Чистое ауылынан солтүстікке қарай 0,1 километр	|	Көлде тауарлы балық өсіру шаруашылығы
417	|	Чистое (Токаревское) көлі	|	55	|	Токаревка ауылынан оңтүстікке қарай 0,1 километр	|	Кәсіпшілік балық аулау
418	|	Чистое (Саманное) көлі	|	130	|	Бексейіт ауылынан солтүстікке қарай 2 километр	|	Кәсіпшілік балық аулау
419	|	Чистое (Меңгесер) көлі	|	43	|	Пчелин ауылынан оңтүстік шығысқа қарай 7,3 километр	|	Кәсіпшілік балық аулау
420	|	Чистый Сарапул көлі	|	40	|	Пчелин ауылынан солтүстікке қарай 2,5 километр	|	Кәсіпшілік балық аулау
421	|	Шайтанды көлі	|	103	|	Афонькин ауылынан оңтүстікке қарай 1,5 километр	|	Кәсіпшілік балық аулау
422	|	Шашмурин көлі	|	120	|	Щучье ауылынан солтүстік батысқа қарай 4 километр	|	Кәсіпшілік балық аулау
423	|	Юртовое көлі	|	30	|	Токаревка ауылынан оңтүстік батысқа қарай 1,5 километр	|	Кәсіпшілік балық аулау
Ғабит Мүсірепов атындағы аудан
424	|	Алакөл көлі	|	240	|	Шұқыркөл ауылынан шығысқа қарай 12 километр	|	Кәсіпшілік балық аулау
425	|	Биесойған көлі	|	4000	|	Целинное ауылынан батысқа қарай 29 километр	|	Кәсіпшілік балық аулау
426	|	№ 3 Бригада көлі	|	54	|	Урожайное ауылынан оңтүстік батысқа қарай 13,2 километр	|	Кәсіпшілік балық аулау
427	|	Жаркөл көлі	|	177	|	Дружба ауылынан оңтүстік батысқа қарай 9 километр	|	Көлде тауарлы балық өсіру шаруашылығы
428	|	Казмакорак көлі	|	216	|	Шақпақ ауылынан оңтүстік батысқа қарай 19,2 километр	|	Кәсіпшілік балық аулау
429	|	Қалмақкөл көлі	|	3500	|	Салқынкөл ауылынан оңтүстік шығысқа қарай 8,5 километр	|	Кәсіпшілік балық аулау
430	|	Кіші Қалмақкөл көлі	|	15	|	Раисовка ауылынан шығысқа қарай4,6 километр	|	Кәсіпшілік балық аулау
431	|	Кішкенекөл көлі	|	334	|	Ялты ауылынан оңтүстік оңтүстік батысқа қарай 19,8 километр	|	Көлде тауарлы балық өсіру шаруашылығы
432	|	Рузаевка көлі	|	35	|	Рузаевка ауылынан оңтүстік батысқа қарай2,7 километр	|	Кәсіпшілік балық аулау
433	|	Салқынкөл көлі	|	2840	|	Чистополье ауылынан оңтүстік шығысқа қарай 7,8 километр	|	Кәсіпшілік балық аулау
434	|	Үлкенкөл көлі	|	567	|	Шұқыркөл ауылынан солтүстікке қарай0,6 километр	|	Кәсіпшілік балық аулау
435	|	Ұлыкөл көлі	|	1640	|	Старобелка ауылынан оңтүстікке қарай 0,1 километр	|	Кәсіпшілік балық аулау
436	|	"Урожайное" тоғаны	|	10	|	Урожайное ауылынан оңтүстік шығысқа қарай	|	Әуесқойлық (спорттық) балық аулау
437	|	Чернобаевка көлі	|	19	|	Чернобаевка ауылынан шығысқа қарай1,2 километр	|	Кәсіпшілік балық аулау
438	|	Шақпақ көлі	|	177	|	Шақпақ ауылынан оңтүстік шығысқа қарай 0,4 километр	|	Кәсіпшілік балық аулау
439	|	Шолақсай өзеніндегі № 2 тоған	|	8	|	Көкалажар ауылынан оңтүстік шығысқа қарай 6,5 километр	|	Көлде тауарлы балық өсіру шаруашылығы
Тайынша ауданы
440	|	Ащықарасу өзеніндегі тоған	|	5,7	|	Новогречановка ауылынан оңтүстік шығысқа қарай 10,8 километр	|	Көлде тауарлы балық өсіру шаруашылығы
441	|	Бәженкөл көлі	|	223	|	Киров ауылынан солтүстік батысқа қарай 11 километр	|	Кәсіпшілік балық аулау
442	|	Барыкөл көлі	|	147	|	Барыкөл ауылынан шығысқа қарай 4,8 километр	|	Кәсіпшілік балық аулау
443	|	Бұрлыкөл көлі	|	340	|	Алабота ауылынан оңтүстік шығысқа қарай 6 километр	|	Кәсіпшілік балық аулау
444	|	Жамантұз көлі	|	3000	|	Рощинское ауылынан оңтүстік шығысқа қарай 3 километр	|	Ащы-тұзды су айдыны
445	|	Жаңасу өзеніндегі № 2 тоған	|	39	|	Аққұдық ауылынан онтүстік шығысқа қарай 5,3 километр	|	Көлде тауарлы балық өсіру шаруашылығы
446	|	Зеленогай бөгеттері	|	35	|	Зеленый гай ауылынан шығысқа қарай 7 километр	|	Көлде тауарлы балық өсіру шаруашылығы
447	|	Қалибек көлі және салалары	|	9500	|	Шұңқыркөл ауылынан батысқа қарай 20 километр	|	Ащы-тұзды су айдыны
448	|	Қарасор көлі	|	7650	|	Рощинское ауылынан солтүстікке қарай 10 километр	|	Кәсіпшілік балық аулау
449	|	Кішкенесор көлі	|	500	|	Рощинское ауылынан шығысқа қарай 9,5 километр	|	Ащы-тұзды су айдыны
450	|	Құмдыкөл көлі	|	2200	|	Макашевка ауылынан солтүстік шығысқа қарай 0,2 километр	|	Кәсіпшілік балық аулау
451	|	Матсор көлі	|	422	|	Жаңадәуір ауылынан батысқа қарай 5,4 километр	|	Ащы-тұзды су айдыны
452	|	№ 1 "Новогречановка" тоғаны	|	11	|	Новогречановка ауылынан онтүстік шығысқа қарай 6,1 километр	|	Көлде тауарлы балық өсіру шаруашылығы
453	|	№ 2 "Новогречановка" тоғаны	|	25	|	Новогречановка ауылынан оңтүстік шығысқа қарай6,2 километр	|	Көлде тауарлы балық өсіру шаруашылығы
454	|	Сарыбалық көлі	|	130	|	Майбалық ауылынан оңтүстік батысқа қарай 5,4 километр	|	Көлде тауарлы балық өсіру шаруашылығы
455	|	Сасықкөл көлі	|	833	|	Озерное ауылынан солтүстік батысқа қарай 0,3 километр	|	Көлде тауарлы балық өсіру шаруашылығы
456	|	Табанды көлі	|	50	|	Чермошнянка ауылынан солтүстік шығысқа қарай 1,5 километр	|	Кәсіпшілік балық аулау
457	|	Тайынша көлі	|	171	|	Киров ауылынан батысқа қарай 3 километр	|	Кәсіпшілік балық аулау
458	|	Үшсай көлі	|	1223	|	Тихоокеанское ауылынан батысқа қарай 18 километр	|	Ащы-тұзды су айдыны
459	|	Шұқыркөл көлі	|	128	|	Киров ауылынан солтүстік батысқа қарай 8 километр	|	Кәсіпшілік балық аулау
Тимирязев ауданы
460	|	Ақжан көлі	|	103,8	|	Ақжан ауылынан батысқа қарай 0,6 километр	|	Кәсіпшілік балық аулау
461	|	Ақсуат көлі	|	1275,7	|	Москворецкое ауылынан шығысқа қарай 3 километр	|	Кәсіпшілік балық аулау
462	|	Әлпеш көлі	|	1200	|	Тимирязев ауылынан солтүстік шығысқа қарай 1,4 километр	|	Көлде тауарлы балық өсіру шаруашылығы
463	|	Есеней көлі	|	73	|	Целинное ауылынан шығысқа қарай 4 километр	|	Кәсіпшілік балық аулау
464	|	Жаркен көлі	|	457,8	|	Жаркен ауылынан батысқа қарай 1 километр	|	Көлде тауарлы балық өсіру шаруашылығы
465	|	Журавлиное көлі	|	133	|	Целинное ауылынан шығысқа қарай 2,2 километр	|	Көлде тауарлы балық өсіру шаруашылығы
466	|	Қақ көлі	|	4310	|	Ақжан ауылынан оңтүстік шығысқа қарай 4 километр	|	Көлде тауарлы балық өсіру шаруашылығы
467	|	Қақ-Москворецкое көлі	|	4215	|	Москворецкое ауылынан оңтүстік батысқа қарай 11 километр	|	Көлде тауарлы балық өсіру шаруашылығы
468	|	Косэрон (Обвальное) көлі	|	51	|	Целинное ауылынан солтүстік батысқа қарай 8,8 километр	|	Кәсіпшілік балық аулау
469	|	Комсомольское көлі	|	64	|	Целинное ауылынан оңтүстік батысқа қарай 1,7 километр	|	Кәсіпшілік балық аулау
470	|	Құмдыкөл көлі	|	450	|	Целинное ауылынан оңтүстік шығысқа қарай 10,6 километр	|	Кәсіпшілік балық аулау
471	|	Половинное көлі	|	62,5	|	Дмитриевка ауылынан солтүстікке қарай 1,7 километр	|	Кәсіпшілік балық аулау
472	|	Придворное көлі	|	80,5	|	Дмитриевка ауылынан солтүстікке қарай	|	Кәсіпшілік балық аулау
473	|	Сор көлі	|	78	|	Целинное ауылынан солтүстік шығысқа қарай 8,9 километр	|	Көлде тауарлы балық өсіру шаруашылығы
474	|	Сулы көлі	|	479	|	Сулы ауылынан оңтүстік батысқа қарай 3 километр	|	Кәсіпшілік балық аулау
475	|	Шағана көлі	|	134,8	|	Тимирязев ауылынан оңтүстік батысқа қарай 0,8 километр	|	Кәсіпшілік балық аулау
Уәлиханов ауданы
476	|	№ 1 Бидайық тоғаны	|	36	|	Бидайық ауылынан оңтүстік шығысқа қарай 12 километр	|	Көлде тауарлы балық өсіру шаруашылығы
477	|	№ 2 Бидайық тоғаны	|	12	|	Бидайық ауылынан оңтүстік шығысқа қарай 14 километр	|	Көлде тауарлы балық өсіру шаруашылығы
478	|	№ 3 Бидайық тоғаны	|	16	|	Бидайық ауылынан оңтүстік шығысқа қарай 16 километр	|	Көлде тауарлы балық өсіру шаруашылығы
479	|	Жамантұз көлі	|	4000	|	Қайрат ауылынан батыс солтүстік батысқа қарай 26,2 километр	|	Ащы-тұзды су айдыны
480	|	Мұзды көлі	|	235	|	Қайрат ауылынан оңтүстікке қарай6,2 километр	|	Кәсіпшілік балық аулау
481	|	Сілетітеңіз көлі	|	75028	|	Қарамырза ауылынан оңтүстікке қарай 3 километр	|	Ащы-тұзды су айдыны
482	|	Теке көлі	|	26500	|	Кішкенекөл ауылынан солтүстікке қарай 32 километр	|	Ащы-тұзды су айдыны
483	|	№ 1 Херсон тоғаны	|	4,9	|	Қаратерек ауылынан солтүстік батысқа қарай 2,8 километр	|	Көлде тауарлы балық өсіру шаруашылығы
484	|	№ 3 Херсон тоғаны	|	9,5	|	Қаратерек ауылынан оңтүстік батысқа қарай 3,2 километр	|	Көлде тауарлы балық өсіру шаруашылығы
485	|	Шүмектікөл көлі	|	67	|	Кішкенекөл ауылынан солтүстік шығысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
Шал ақын ауданы
486	|	Жалпақсу өзбойы	|	5	|	Кеңес ауылынан оңтүстік шығысқа қарай 0,8 километр	|	Кәсіпшілік балық аулау
487	|	Жалтыр көлі	|	1500	|	Жалтыр ауылынан солтүстік шығысқа қарай 3 километр	|	Көлде тауарлы балық өсіру шаруашылығы
488	|	Қабанқарасу өзбойы	|	6,3	|	Кеңес ауылынан оңтүстік шығысқа қарай 2,2 километр	|	Кәсіпшілік балық аулау
489	|	"Квашинское" тоғаны	|	12	|	Городецкое ауылынан шығысқа қарай 3 километр	|	Көлде тауарлы балық өсіру шаруашылығы
490	|	Козлов көлі	|	70,4	|	Қаратал ауылынан оңтүстік шығысқа қарай 2 километр	|	Кәсіпшілік балық аулау
491	|	Қоскөл көлі	|	59,7	|	Семиполка ауылынан батысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
492	|	Кіші Қоскөл көлі	|	61,4	|	Ступинка ауылынан оңтүстік батысқа қарай	|	Кәсіпшілік балық аулау
493	|	Обалы көлі	|	30	|	Бірлік ауылынан оңтүстік батысқа қарай 8 километр	|	Кәсіпшілік балық аулау
494	|	Паровое көлі	|	25	|	Новопокровка ауылынан солтүстік шығысқа қарай 0,4 километр	|	Кәсіпшілік балық аулау
495	|	Есіл өзенінің жайылмасы (Шал ақын ауданы)	|		|	Ғабит Мүсірепов атындағы аудан шекарасынан Есіл ауданы шекарасына дейін	|	Кәсіпшілік балық аулау
496	|	Полтавское көлі	|	66	|	Балуан ауылынан оңтүстік батысқа қарай 1 километр	|	Кәсіпшілік балық аулау
497	|	Сергеевка су қоймасы	|	11700	|	Сергеевка қаласынанҰзынжар ауылына дейін	|	Кәсіпшілік балық аулау
498	|	Сүттікөл көлі	|	42	|	Повозочное ауылынан солтүстікке қарай 1,5 километр	|	Кәсіпшілік балық аулау
499	|	Кіші Тораңғұл көлі	|	2383	|	Новопокровка ауылынан оңтүстік шығысқа қарай 0,1 километр	|	Көлде тауарлы балық өсіру шаруашылығы
500	|	Шортанды көлі	|	47,5	|	Бірлік ауылынан солтүстік батысқа қарай 4,2 километр	|	Көлде тауарлы балық өсіру шаруашылығы
501	|	Шарбақты көлі	|	35,6	|	Повозочное ауылынан солтүстік батысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
Барлығы: 501 су айдыны және (немесе) учаскесі



